195,43
43,110
55,20
54,40
22,99
44,20
198,23
176,96
18,83
96,179
182,136
169,47
65,127
83,197
185,180
192,131
113,85
87,11
124,60
50,31
15,137
84,29
0,2
75,124
43,64
104,123
160,155
21,61
152,181
91,52
11,160
171,188
77,34
152,174
165,19
2,22
71,133
142,193
107,0
46,72
81,145
74,161
77,178
20,80
29,92
13,169
135,164
134,56
180,108
190,173
50,62
96,13
121,186
72,110
16,57
190,38
131,71
127,153
165,137
5,38
74,37
5,102
120,187
14,59
117,145
80,132
184,34
35,164
142,28
98,122
75,191
156,54
182,18
0,72
163,87
29,25
89,9
192,159
118,127
171,84
145,129
128,177
60,33
84,0
7,6
104,76
89,176
61,169
69,8
26,37
110,128
30,126
108,9
20,45
186,68
154,198
80,38
158,159
133,50
155,117
